Datetime,MW,hour,dayofweek,month,MW_lag1,MW_lag7,MW_rolling7,anomaly,iso_score
2002-07-30,45768.791666666664,0,1,7,45874.75,44348.166666666664,37239.30357142857,-1,-0.6381973695851018
2002-08-02,44885.083333333336,0,4,8,44532.291666666664,31547.083333333332,41558.17857142857,-1,-0.5993701304098269
2002-08-03,39179.791666666664,0,5,8,44885.083333333336,30368.875,42816.880952380954,-1,-0.6074451471113428
2002-08-05,43450.625,0,0,8,39653.5,45874.75,43021.630952380954,-1,-0.6205240436692281
2002-08-06,36512.875,0,1,8,43450.625,45768.791666666664,41699.357142857145,-1,-0.6090910702586717
2002-08-14,45580.375,0,2,8,44836.333333333336,31970.75,37898.33928571428,-1,-0.5959850094326815
2002-08-15,45294.416666666664,0,3,8,45580.375,32463.5,39731.327380952374,-1,-0.5942721084049355
2002-08-16,44693.833333333336,0,4,8,45294.416666666664,33465.125,41335.42857142857,-1,-0.6003070072287608
2002-08-17,41378.916666666664,0,5,8,44693.833333333336,32546.333333333332,42597.2261904762,-1,-0.6030063221367647
2002-08-18,41063.041666666664,0,6,8,41378.916666666664,34326.958333333336,43559.5238095238,-1,-0.5980227468759918
2002-08-19,44474.416666666664,0,0,8,41063.041666666664,42069.75,43903.04761904762,-1,-0.6055685513337167
2002-08-20,41965.166666666664,0,1,8,44474.416666666664,44836.333333333336,43492.88095238095,-1,-0.6317125933084332
2005-06-14,45736.375,0,1,6,43247.416666666664,38071.208333333336,41186.642857142855,-1,-0.5955021897301472
2005-06-15,42553.208333333336,0,2,6,45736.375,41303.166666666664,41365.22023809523,-1,-0.6024630541471216
2005-07-19,46461.416666666664,0,1,7,44859.166666666664,43082.208333333336,41522.15476190477,-1,-0.6136453805034809
2005-07-20,45174.791666666664,0,2,7,46461.416666666664,40571.625,42179.75,-1,-0.6017990207378461
2005-07-21,43912.541666666664,0,3,7,45174.791666666664,41229.833333333336,42562.994047619046,-1,-0.5971487506976308
2005-07-22,44732.625,0,4,7,43912.541666666664,41663.375,43001.45833333333,-1,-0.6044254240999296
2005-07-23,39023.125,0,5,7,44732.625,38107.166666666664,43132.30952380952,-1,-0.5961160472922168
2005-07-25,42357.041666666664,0,0,7,34728.166666666664,44859.166666666664,42341.3869047619,-1,-0.6098420214807208
2005-07-26,47254.791666666664,0,1,7,42357.041666666664,46461.416666666664,42454.72619047619,-1,-0.6356788970625653
2005-07-27,48413.083333333336,0,2,7,47254.791666666664,45174.791666666664,42917.33928571428,-1,-0.6596777613051558
2005-07-28,39144.541666666664,0,3,7,48413.083333333336,43912.541666666664,42236.19642857143,-1,-0.6070078883268414
2005-08-02,44364.291666666664,0,1,8,40480.791666666664,47254.791666666664,40217.66666666667,-1,-0.6010319642670027
2005-08-03,45903.875,0,2,8,44364.291666666664,48413.083333333336,39859.20833333333,-1,-0.6258715183217888
2005-08-04,46858.916666666664,0,3,8,45903.875,39144.541666666664,40961.2619047619,-1,-0.5979118092670267
2005-08-05,46255.75,0,4,8,46858.916666666664,37906.708333333336,42153.982142857145,-1,-0.6197226733582855
2005-08-06,38851.75,0,5,8,46255.75,36421.375,42501.17857142857,-1,-0.609420993630185
2005-08-12,46423.25,0,4,8,44564.333333333336,46255.75,40809.56547619047,-1,-0.6396812141284022
2005-08-13,45570.208333333336,0,5,8,46423.25,38851.75,41769.345238095244,-1,-0.6364653420376628
2005-08-14,44383.166666666664,0,6,8,45570.208333333336,36678.666666666664,42869.9880952381,-1,-0.6441653052251309
2005-08-15,42484.708333333336,0,0,8,44383.166666666664,40141.416666666664,43204.74404761905,-1,-0.6133500577582403
2005-08-21,40212.083333333336,0,6,8,36476.541666666664,44383.166666666664,38635.09523809523,-1,-0.6002708721240722
2006-07-18,48221.208333333336,0,1,7,46962.625,43289.166666666664,42863.17857142857,-1,-0.6422183396454689
2006-07-19,43492.541666666664,0,2,7,48221.208333333336,43543.625,42855.880952380954,-1,-0.6219294158904538
2006-07-21,44045.958333333336,0,4,7,43184.5,41988.333333333336,43379.380952380954,-1,-0.6024964758086772
2006-07-28,43258.291666666664,0,4,7,44590.25,44045.958333333336,40161.14880952381,-1,-0.6053212494818841
2006-07-31,46390.125,0,0,7,41868.416666666664,38355.458333333336,42919.55357142857,-1,-0.6100482371372254
