Datetime,yhat
2017-01-01,25969.268289575655
2017-01-02,29880.75933698324
2017-01-03,33210.801432935055
2017-01-04,33321.14060368226
2017-01-05,33317.02038160793
2017-01-06,32961.88079950815
2017-01-07,30532.995846035144
2017-01-08,29930.530766989894
2017-01-09,33533.864391739065
2017-01-10,34179.60729044933
2017-01-11,34346.797734586115
2017-01-12,34382.69541304477
2017-01-13,34049.82096449044
2017-01-14,31624.957515235878
2017-01-15,31008.214879760737
2017-01-16,34112.60767940626
2017-01-17,35175.757920706084
2017-01-18,35277.665866113755
2017-01-19,35233.867619183424
2017-01-20,34808.73079332238
2017-01-21,32281.144320276795
2017-01-22,31553.524946932008
2017-01-23,35008.07312915749
2017-01-24,35484.71101322521
2017-01-25,35466.18671423686
2017-01-26,35303.76736923995
2017-01-27,34764.171770414505
2017-01-28,32128.46165536766
2017-01-29,31300.995263831726
2017-01-30,34665.6372864323
2017-01-31,35063.659045205866
2017-02-01,34978.81403127776
2017-02-02,34763.01193790572
2017-02-03,34183.2423829382
2017-02-04,31520.46750654239
2017-02-05,30678.586881583593
2017-02-06,34040.66841764283
2017-02-07,34446.87839510642
2017-02-08,34379.59481504601
2017-02-09,34189.12605552044
2017-02-10,33640.68470613481
2017-02-11,31013.334308725633
2017-02-12,30209.010889513786
2017-02-13,33608.811361541666
2017-02-14,34050.98032687862
2017-02-15,34016.07789721877
2017-02-16,33852.749039514994
2017-02-17,33324.74295831015
2017-02-18,30709.899042765086
2017-02-19,29909.200256001186
2017-02-20,34199.948846767555
2017-02-21,33729.450226365654
2017-02-22,33668.82273354199
2017-02-23,33470.12807418347
2017-02-24,32897.69683238235
2017-02-25,30230.230631063725
2017-02-26,29369.827639933843
2017-02-27,32698.26002231294
2017-02-28,33054.935371176645
2017-03-01,32922.02567250792
2017-03-02,32650.185588661272
2017-03-03,32005.510186236585
2017-03-04,29268.450525579603
2017-03-05,28342.7900986029
2017-03-06,31611.87567053927
2017-03-07,31916.5358605104
2017-03-08,31740.17215894071
2017-03-09,31434.445178818733
2017-03-10,30766.207086658487
2017-03-11,28016.399248476133
2017-03-12,27089.01847659483
2017-03-13,30367.345605432536
2017-03-14,30691.869674394515
2017-03-15,30545.39213532765
2017-03-16,30278.73338791177
2017-03-17,29657.691899712136
2017-03-18,26961.974083919675
2017-03-19,26094.19731303896
2017-03-20,29436.15867438352
2017-03-21,29826.801543582656
2017-03-22,29747.36314723077
2017-03-23,29547.1241646628
2017-03-24,28990.409401643712
2017-03-25,26355.556549544206
2017-03-26,25543.95434637135
2017-03-27,28936.341810453516
2017-03-28,29370.79984053617
2017-03-29,29327.917743448903
2017-03-30,29156.555317867318
2017-03-31,28620.849302469134
2017-04-01,25999.181178654206
2017-04-02,25193.207818674848
2017-04-03,28584.147014506816
2017-04-04,29010.749720811662
2017-04-05,28954.442270010553
2017-04-06,28765.06001734884
2017-04-07,28207.822159997002
2017-04-08,25562.26573188921
2017-04-09,24731.241321104586
2017-04-10,28097.163612433462
2017-04-11,28499.949635185934
2017-04-12,28422.128968079338
2017-04-13,28214.54827158064
2017-04-14,27643.320695548373
2017-04-15,24988.738836817054
2017-04-16,24154.25431689142
2017-04-17,27522.71744245262
2017-04-18,27934.31001757781
2017-04-19,27871.655573442677
2017-04-20,27685.52922831373
2017-04-21,27141.817403468696
2017-04-22,24520.445596436723
2017-04-23,23724.376674304192
2017-04-24,27135.872429922518
2017-04-25,27594.4506619471
2017-04-26,27582.02117598584
2017-04-27,27448.62201873786
2017-04-28,26959.405267645194
2017-04-29,24393.58970064891
2017-04-30,23653.481986907238
2017-05-01,27120.75840002558
2017-05-02,27634.438677505685
2017-05-03,27676.034910160175
2017-05-04,27595.29639901548
2017-05-05,27157.199578145417
